COURSE_ACAD_YR,POLY,JAE_COURSE_CODE,COURSE_TITLE,JAE_COURSE_CLUSTER,JAE_ELR2B2,ELR2B2_YEAR,COURSE_URL,NEW_COURSE
2019/20,RP,R36,Design for User Experience,MEDIA & DESIGN,22,2018,https://www.rp.edu.sg/sta/full-time-diplomas/details/r36,No
2019/20,RP,R37,Hotel & Hospitality Management,BUSINESS & MANAGEMENT,22,2018,https://www.rp.edu.sg/soh/full-time-diplomas/details/r37,No
2019/20,RP,R39,Aviation Management,BUSINESS & MANAGEMENT,19,2018,https://www.rp.edu.sg/SEG/full-time-diplomas/Details/r39,No
2019/20,RP,R40,Aerospace Engineering,ENGINEERING,22,2018,https://www.rp.edu.sg/SEG/full-time-diplomas/Details/r40,No
2019/20,RP,R41,Green Building Energy Management,BUILT ENVIRONMENT,26,2018,https://www.rp.edu.sg/SEG/full-time-diplomas/Details/r41,No
2019/20,RP,R42,Common Engineering Programme,ENGINEERING,26,2018,https://www.rp.edu.sg/SEG/full-time-diplomas/Details/r42,No
2019/20,RP,R43,Health Management & Promotion,HEALTH SCIENCES,26,2018,https://www.rp.edu.sg/shl/full-time-diplomas/details/r43,No
2019/20,RP,R44,Wellness & Hospitality Business,BUSINESS & MANAGEMENT,23,2018,https://www.rp.edu.sg/soh/full-time-diplomas/details/r44,No
2019/20,RP,R45,Health Services Management,HEALTH SCIENCES,26,2018,https://www.rp.edu.sg/shl/full-time-diplomas/details/r45,No
2019/20,RP,R46,Restaurant & Culinary Operations,BUSINESS & MANAGEMENT,26,2018,https://www.rp.edu.sg/soh/full-time-diplomas/details/r46,No
2019/20,RP,R47,Mobile Software Development,INFORMATION & DIGITAL TECHNOLOGIES,26,2018,https://www.rp.edu.sg/SOI/full-time-diplomas/Details/R47,No
2019/20,RP,R48,Consumer Behaviour & Research,BUSINESS & MANAGEMENT,20,2018,https://www.rp.edu.sg/smc/full-time-diplomas/details/r48,No
2019/20,RP,R49,Sport Coaching,HEALTH SCIENCES,14,2018,https://www.rp.edu.sg/shl/full-time-diplomas/details/r49,No
2019/20,RP,R50,Electrical & Electronic Engineering,ENGINEERING,26,2018,https://www.rp.edu.sg/SEG/full-time-diplomas/Details/r50,No
2019/20,RP,R51,Business & Social Enterprise,BUSINESS & MANAGEMENT,21,2018,https://www.rp.edu.sg/smc/full-time-diplomas/details/R51,No
2019/20,RP,R52,Human Resource Management with Psychology,BUSINESS & MANAGEMENT,17,2018,https://www.rp.edu.sg/smc/full-time-diplomas/details/R52,No
2019/20,RP,R53,Marine Science & Aquaculture,APPLIED SCIENCES,15,2018,https://www.rp.edu.sg/SAS/full-time-diplomas/Details/r53,No
2019/20,RP,R54,Engineering Systems & Management,ENGINEERING,26,2018,https://www.rp.edu.sg/SEG/full-time-diplomas/Details/r54,No
2019/20,RP,R55,Infocomm Security Management,INFORMATION & DIGITAL TECHNOLOGIES,21,2018,https://www.rp.edu.sg/SOI/full-time-diplomas/Details/R55,No
2019/20,RP,R56,Engineering Design with Business,ENGINEERING,25,2018,https://www.rp.edu.sg/SEG/full-time-diplomas/Details/r56,No
2019/20,RP,R57,Common Business Programme,BUSINESS & MANAGEMENT,-,-,https://www.rp.edu.sg/SMC/full-time-diplomas/Details/r57,Yes
2019/20,RP,R58,Common ICT Programme,INFORMATION & DIGITAL TECHNOLOGIES,-,-,https://www.rp.edu.sg/SOI/full-time-diplomas/Details/r58,Yes
2019/20,SP,S31,Common Business Programme,BUSINESS & MANAGEMENT,-,-,https://www.sp.edu.sg/sb/courses/full-time-diplomas/common-business-programme,Yes
2019/20,SP,S32,Common ICT Programme,INFORMATION & DIGITAL TECHNOLOGIES,-,-,https://www.sp.edu.sg/dmit,Yes
2019/20,SP,S35,Digital Animation,MEDIA & DESIGN,10,2018,https://www.sp.edu.sg/dmit/courses/full-time-diplomas/digital-animation,No
2019/20,SP,S38,Perfumery & Cosmetic Science,APPLIED SCIENCES,13,2018,https://www.sp.edu.sg/cls/courses/full-time-diplomas/perfumery-cosmetic-science,No
2019/20,SP,S39,Visual Effects & Motion Graphics,MEDIA & DESIGN,14,2018,https://www.sp.edu.sg/dmit/courses/full-time-diplomas/visual-effects-motion-graphics,No
2019/20,SP,S40,Common Engineering Programme,ENGINEERING,16,2018,https://www.sp.edu.sg/mae/courses/common-engineering-programme,No
2019/20,SP,S41,Creative Writing for Television & New Media,HUMANITIES,12,2018,https://www.sp.edu.sg/cass/full-time-courses/diploma-in-creative-writing-for-tv-and-new-media,No
2019/20,SP,S42,Engineering with Business,ENGINEERING,15,2018,https://www.sp.edu.sg/eee/courses/full-time-diplomas/engineering-with-business,No
2019/20,SP,S43,Applied Drama & Psychology,HUMANITIES,14,2018,https://www.sp.edu.sg/cass/full-time-courses/diploma-in-applied-drama-psychology,No
2019/20,SP,S44,"Nutrition, Health & Wellness",APPLIED SCIENCES,9,2018,https://www.sp.edu.sg/cls/courses/full-time-diplomas/nutrition-health-wellness,No
2019/20,SP,S46,Financial Informatics,BUSINESS & MANAGEMENT,13,2018,https://www.sp.edu.sg/sb/courses/full-time-diplomas/financial-informatics,No
2019/20,SP,S47,Food Science & Technology,APPLIED SCIENCES,13,2018,https://www.sp.edu.sg/cls/courses/full-time-diplomas/food-science-technology,No
2019/20,SP,S48,Human Resource Management with Psychology,BUSINESS & MANAGEMENT,13,2018,https://www.sp.edu.sg/sb/courses/full-time-diplomas/human-resource-management-with-psychology,No
2019/20,SP,S50,Integrated Events & Project Management,BUILT ENVIRONMENT,15,2018,https://www.sp.edu.sg/abe/courses/full-time-diplomas/integrated-events-project-management,No
2019/20,SP,S53,Computer Engineering,ENGINEERING,15,2018,https://www.sp.edu.sg/eee/courses/full-time-diplomas/computer-engineering,No
2019/20,SP,S54,Infocomm Security Management,INFORMATION & DIGITAL TECHNOLOGIES,10,2018,https://www.sp.edu.sg/dmit/courses/full-time-diplomas/infocomm-security-management,No
2019/20,SP,S56,Games Design & Development,MEDIA & DESIGN,11,2018,https://www.sp.edu.sg/sd/courses/full-time-diplomas/game-design-and-development,No
2019/20,SP,S58,Bioengineering,ENGINEERING,13,2018,https://www.sp.edu.sg/mae/courses/full-time-diplomas/bioengineering,No
2019/20,SP,S63,Marine Engineering,MARITIME STUDIES,20,2018,https://www.sp.edu.sg/sma/courses/full-time-diplomas/marine-engineering,No
2019/20,SP,S64,Applied Chemistry,APPLIED SCIENCES,10,2018,https://www.sp.edu.sg/cls/courses/full-time-diplomas/applied-chemistry,No
2019/20,SP,S66,Architecture,BUILT ENVIRONMENT,13,2018,https://www.sp.edu.sg/abe/courses/full-time-diplomas/architecture,No
2019/20,SP,S67,Optometry,HEALTH SCIENCES,13,2018,https://www.sp.edu.sg/cls/courses/full-time-diplomas/optometry,No
2019/20,SP,S68,Civil Engineering with Business,BUILT ENVIRONMENT,20,2018,https://www.sp.edu.sg/abe/courses/full-time-diplomas/civil-engineering-with-business,No
2019/20,SP,S69,Information Technology,INFORMATION & DIGITAL TECHNOLOGIES,13,2018,https://www.sp.edu.sg/dmit/courses/full-time-diplomas/information-technology,No
2019/20,SP,S70,Chemical Engineering,APPLIED SCIENCES,13,2018,https://www.sp.edu.sg/cls/courses/full-time-diplomas/chemical-engineering,No
2019/20,SP,S71,Business Administration,BUSINESS & MANAGEMENT,13,2018,https://www.sp.edu.sg/sb/courses/full-time-diplomas/business-administration,No
2019/20,SP,S72,Biotechnology,APPLIED SCIENCES,9,2018,https://www.sp.edu.sg/cls/courses/full-time-diplomas/biotechnology,No
2019/20,SP,S73,Mechatronics & Robotics,ENGINEERING,12,2018,https://www.sp.edu.sg/mae/courses/full-time-diplomas/mechatronics-and-robotics,No
2019/20,SP,S74,Maritime Business,MARITIME STUDIES,18,2018,https://www.sp.edu.sg/sma/courses/full-time-diplomas/maritime-business,No
2019/20,SP,S75,Accountancy,BUSINESS & MANAGEMENT,13,2018,https://www.sp.edu.sg/sb/courses/full-time-diplomas/CBP,No
2019/20,SP,S76,Banking & Finance,BUSINESS & MANAGEMENT,13,2018,https://www.sp.edu.sg/sb/courses/full-time-diplomas/banking-finance,No
2019/20,SP,S86,Media & Communication,MEDIA & DESIGN,14,2018,https://www.sp.edu.sg/cass/full-time-courses/diploma-in-media-and-communication,No
2019/20,SP,S88,Aeronautical Engineering,ENGINEERING,13,2018,https://www.sp.edu.sg/mae/courses/full-time-diplomas/aeronautical-engineering-,No
2019/20,SP,S89,Interior Design,MEDIA & DESIGN,14,2018,https://www.sp.edu.sg/sd/courses/full-time-diplomas/interior-design,No
2019/20,SP,S90,Aerospace Electronics,ENGINEERING,14,2018,https://www.sp.edu.sg/eee/courses/full-time-diplomas/aerospace-electronics,No
2019/20,SP,S91,Mechanical Engineering,ENGINEERING,15,2018,https://www.sp.edu.sg/mae/courses/full-time-diplomas/mechanical-engineering,No
2019/20,SP,S93,Experience & Communication Design,MEDIA & DESIGN,10,2018,https://www.sp.edu.sg/sd/courses/full-time-diplomas/experience-and-communication-design,No
2019/20,SP,S94,Landscape Architecture,BUILT ENVIRONMENT,16,2018,https://www.sp.edu.sg/abe/courses/full-time-diplomas/landscape-architecture,No
2019/20,SP,S95,Facilities Management,BUILT ENVIRONMENT,15,2018,https://www.sp.edu.sg/abe/courses/full-time-diplomas/facilities-management,No
2019/20,SP,S97,Music & Audio Technology,INFORMATION & DIGITAL TECHNOLOGIES,12,2018,https://www.sp.edu.sg/dmit/courses/full-time-diplomas/music-audio-technology,No
